Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
2500;6.437523126602173;526;2500;0.5641617649475595;0.42291666666666555;0.423175427977305;0.38022813688212925;0.022813688212927757;0.011406844106463879;0.024714828897338403;0.022813688212927757;0.5380228136882129;0.29895366218236175;0.0029895366218236174;0.004484304932735426;0.01046337817638266;0.016442451420029897;0.6666666666666666;0.3347280334728033;0.0052863436123348016;0.006437768240343348;0.01470231844252363;0.01911104676415231;0.5954760652288269
2750;7.130100965499878;557;2750;0.5920784316142265;0.4437499999999988;0.4478629279773049;0.4021543985637343;0.02154398563734291;0.010771992818671455;0.025134649910233394;0.02154398563734291;0.518850987432675;0.33482810164424515;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.01195814648729447;0.6397608370702541;0.365415986949429;0.005250492233646905;0.00633245382585752;0.009660169052958427;0.015379685998077538;0.5729969865913739
3000;9.004260063171387;592;3000;0.6160367649475605;0.4666666666666654;0.4711268168661938;0.41385135135135137;0.02027027027027027;0.010135135135135136;0.02364864864864865;0.02027027027027027;0.5118243243243243;0.3662182361733931;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.01195814648729447;0.6083707025411061;0.3885804916732752;0.005210594876248372;0.0062176165803108805;0.00954491222089654;0.015042306486994672;0.5559369865051582
3250;11.934428930282593;626;3250;0.6475753017237736;0.4874999999999987;0.49616947559635244;0.42012779552715657;0.019169329073482427;0.009584664536741214;0.022364217252396165;0.019169329073482427;0.5095846645367412;0.3931240657698057;0.0029895366218236174;0.0029895366218236174;0.005979073243647235;0.01046337817638266;0.5844544095665172;0.4061776061776062;0.005172413793103448;0.004557538928978352;0.009435551811288963;0.01353746978243352;0.5444577095751205
3500;11.152349948883057;649;3500;0.6626061659213047;0.4979166666666653;0.5104303882947655;0.42989214175654855;0.01848998459167951;0.009244992295839754;0.02157164869029276;0.01848998459167951;0.50231124807396;0.4170403587443946;0.0029895366218236174;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.5665171898355755;0.4233687405159332;0.0051469011366073346;0.004518072289156626;0.007425086184036065;0.009036144578313253;0.5324857509185136
3750;11.383854866027832;671;3750;0.6828952904797065;0.5083333333333322;0.5278260882862319;0.4396423248882265;0.01788375558867362;0.00894187779433681;0.020864381520119227;0.01788375558867362;0.4947839046199702;0.44095665171898357;0.0029895366218236174;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.5426008968609866;0.44029850746268656;0.005122732123799359;0.004480955937266617;0.007382019509622991;0.008961911874533234;0.5175903676551115
4000;16.781015157699585;695;4000;0.7032077904797074;0.5249999999999995;0.5458816438417881;0.4460431654676259;0.017266187050359712;0.008633093525179856;0.02014388489208633;0.017266187050359712;0.4906474820143885;0.4633781763826607;0.0029895366218236174;0.0029895366218236174;0.0029895366218236174;0.005979073243647235;0.5216741405082213;0.4545454545454546;0.005096623486939902;0.0044411547002220575;0.005206396429899591;0.008882309400444115;0.5056853430326929
4250;15.210222959518433;723;4250;0.7224786238130412;0.5437500000000003;0.5649788660640106;0.45504840940525587;0.016597510373443983;0.008298755186721992;0.019363762102351315;0.016597510373443983;0.48409405255878285;0.49177877428998507;0.0029895366218236174;0.0014947683109118087;0.0029895366218236174;0.005979073243647235;0.4947683109118087;0.4727011494252874;0.00506649778340722;0.00253324889170361;0.005179430262671107;0.008791208791208791;0.48937298162686416
4500;17.406880855560303;756;4500;0.7545458663604675;0.5677083333333346;0.5923621255693639;0.46296296296296297;0.015873015873015872;0.007936507936507936;0.018518518518518517;0.015873015873015872;0.47883597883597884;0.523168908819133;0.0029895366218236174;0.0014947683109118087;0.0029895366218236174;0.004484304932735426;0.4648729446935725;0.4912280701754386;0.005031446540880503;0.0025157232704402514;0.005148005148005148;0.006993006993006993;0.47175116385288735
4750;20.73307204246521;775;4750;0.7727496265230693;0.5812500000000017;0.6078680779503169;0.4696774193548387;0.015483870967741935;0.007741935483870968;0.01806451612903226;0.015483870967741935;0.4735483870967742;0.5440956651718983;0.0029895366218236174;0.0014947683109118087;0.0014947683109118087;0.004484304932735426;0.445440956651719;0.5041551246537396;0.005011484652328252;0.002505742326164126;0.0027610689281135988;0.006954505940307158;0.45906483683230737
5000;22.01915979385376;795;5000;0.7883746265230698;0.5947916666666688;0.6221041890614285;0.4716981132075472;0.01509433962264151;0.007547169811320755;0.01761006289308176;0.01509433962264151;0.4729559748427673;0.5605381165919282;0.0029895366218236174;0.0014947683109118087;0.0014947683109118087;0.004484304932735426;0.4289985052316891;0.5122950819672132;0.004990642545227698;0.002495321272613849;0.0027556342879637833;0.006914433880726015;0.44990608889972883
5500;26.75741696357727;821;5500;0.810666395239858;0.6114583333333363;0.6434294205429103;0.48112058465286234;0.014616321559074299;0.007308160779537149;0.01705237515225335;0.014616321559074299;0.46528623629719856;0.5904334828101644;0.0029895366218236174;0.0014947683109118087;0.0;0.004484304932735426;0.40059790732436473;0.5302013422818792;0.004963805584281282;0.002481902792140641;0.0;0.006863025450386045;0.4305257093354304
6000;31.3006649017334;830;6000;0.8146594507954136;0.6145833333333365;0.647298468161958;0.4807228915662651;0.014457831325301205;0.007228915662650603;0.016867469879518072;0.014457831325301205;0.46626506024096387;0.5964125560538116;0.0029895366218236174;0.0014947683109118087;0.0;0.0029895366218236174;0.3961136023916293;0.5323549032688458;0.004954582989265071;0.0024772914946325354;0.0;0.004954582989265071;0.42833604467341757
6500;34.24954795837402;869;6500;0.8498677841287481;0.6406250000000041;0.676465134828626;0.48216340621403914;0.01380897583429229;0.006904487917146145;0.01611047180667434;0.01380897583429229;0.4672036823935558;0.6263079222720478;0.0029895366218236174;0.0014947683109118087;0.0;0.0014947683109118087;0.36771300448430494;0.5448634590377113;0.004915011263567479;0.0024575056317837395;0.0;0.0026975384961222884;0.4115305693589458
7000;39.95686101913452;902;7000;0.8696208705485019;0.6572916666666716;0.6947935078444996;0.4811529933481153;0.013303769401330377;0.0066518847006651885;0.015521064301552107;0.013303769401330377;0.4700665188470067;0.648729446935725;0.0029895366218236174;0.0014947683109118087;0.0;0.0014947683109118087;0.3452914798206278;0.5525143220878421;0.004882017900732304;0.002441008950366152;0.0;0.002687569988801792;0.3981317756667439
7500;46.294488191604614;925;7500;0.8839704640444375;0.6697916666666722;0.7089800157810081;0.4843243243243243;0.012972972972972972;0.006486486486486486;0.015135135135135135;0.012972972972972972;0.4681081081081081;0.6696562032884903;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.32585949177877427;0.5621079046424091;0.004859283255719781;0.0024296416278598906;0.0;0.0;0.3842410451695103
8000;51.40252494812012;944;8000;0.8933454640444376;0.6791666666666727;0.7183550157810082;0.4841101694915254;0.012711864406779662;0.006355932203389831;0.014830508474576272;0.012711864406779662;0.4692796610169492;0.6831091180866966;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.312406576980568;0.5666460012399256;0.004840661557079468;0.002420330778539734;0.0;0.0;0.3751020432967429
8500;57.698145151138306;954;8500;0.8985537973777711;0.6843750000000062;0.7235633491143418;0.48427672955974843;0.012578616352201259;0.006289308176100629;0.014675052410901468;0.012578616352201259;0.469601677148847;0.6905829596412556;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.30493273542600896;0.5693160813308689;0.004830917874396135;0.0024154589371980675;0.0;0.0;0.36976258678448315
9000;64.15309119224548;964;9000;0.9026950575403729;0.6885416666666729;0.7283054126064056;0.48443983402489627;0.013485477178423237;0.007261410788381743;0.015560165975103735;0.013485477178423237;0.4657676348547718;0.6980568011958147;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.2974588938714499;0.5719534598897735;0.004894117647058823;0.002479192491588454;0.0;0.0;0.36305531909706495
9500;686.9199290275574;1074;9500;0.9261139112903322;0.7437500000000077;0.757653886759568;0.45251396648044695;0.01303538175046555;0.010242085661080074;0.025139664804469275;0.03165735567970205;0.46741154562383613;0.726457399103139;0.004484304932735426;0.0014947683109118087;0.004484304932735426;0.0;0.26307922272047835;0.557659208261618;0.00667302192564347;0.0026087987667496736;0.007610993657505285;0.0;0.33666754308751634
10000;90.5621030330658;1184;10000;0.9347296088002363;0.7895833333333422;0.7693606608882175;0.4155405405405405;0.013513513513513514;0.013513513513513514;0.03209459459459459;0.04983108108108108;0.47550675675675674;0.7354260089686099;0.004484304932735426;0.0029895366218236174;0.004484304932735426;0.004484304932735426;0.24813153961136025;0.5310307609282245;0.006734006734006734;0.004895960832313342;0.007869124042244772;0.008228157032285056;0.3260972346041721
11000;102.46086692810059;1379;11000;0.9555971825826723;0.8531250000000099;0.796229538549095;0.37128353879622916;0.016678752719361856;0.01305293691080493;0.03915881073241479;0.0725163161711385;0.4873096446700508;0.7653213751868461;0.005979073243647235;0.004484304932735426;0.004484304932735426;0.017937219730941704;0.20179372197309417;0.5;0.008802564225230828;0.006675319859076581;0.00804709038074659;0.028760425654299687;0.28540283420870083
12000;124.6988480091095;1571;12000;0.9699196377631324;0.9010416666666775;0.8162427577535833;0.33800127307447486;0.018459579885423297;0.014003819223424571;0.0426479949077021;0.08911521323997454;0.49777211966900065;0.7937219730941704;0.004484304932735426;0.004484304932735426;0.004484304932735426;0.028400597907324365;0.16442451420029897;0.47410714285714284;0.0072157253048021905;0.006793268488497761;0.008115310077519379;0.0430737840967055;0.247195273345901
13000;148.87932801246643;1760;13000;0.9761747896294382;0.9125000000000113;0.8263722537769492;0.30568181818181817;0.01818181818181818;0.015909090909090907;0.04602272727272727;0.1;0.5142045454545454;0.804185351270553;0.004484304932735426;0.005979073243647235;0.005979073243647235;0.029895366218236172;0.14947683109118087;0.4429806504734458;0.007194244604316547;0.008691603290392674;0.010583220369432786;0.04602991944764097;0.23162218710209928
14000;158.34542989730835;1933;14000;0.9835138888889006;0.9187500000000113;0.8320408926319345;0.28142783238489394;0.01965856182100362;0.01810657009829281;0.04862907397827212;0.10553543714433523;0.5266425245732023;0.8131539611360239;0.004484304932735426;0.007473841554559043;0.005979073243647235;0.0343796711509716;0.13452914798206278;0.41813989239046884;0.007302776977034689;0.010580411124546553;0.010648843071171657;0.051863929035288914;0.21431278157499548
15000;200.88558506965637;2102;15000;0.9861701388889006;0.9218750000000114;0.8323294177642097;0.25784966698382494;0.021883920076117985;0.01807802093244529;0.048525214081826834;0.11227402473834443;0.5413891531874405;0.8101644245142003;0.005979073243647235;0.005979073243647235;0.007473841554559043;0.0343796711509716;0.13602391629297458;0.3911945146156622;0.00939206778622837;0.008986107005616317;0.012952709910092954;0.052640256024826644;0.21742088002989696
16000;216.14699816703796;2279;16000;0.9882708333333452;0.9260416666666782;0.841714181216988;0.2387011847301448;0.022378236068451074;0.019306713470820535;0.051338306274681875;0.1254936375603335;0.5427819218955683;0.8131539611360239;0.007473841554559043;0.005979073243647235;0.01046337817638266;0.03587443946188341;0.12705530642750373;0.36906377204884666;0.011205343410818648;0.009130525005187799;0.01738373697281005;0.05579807340568224;0.20591069141498605
17000;250.03814697265625;2451;17000;0.9917083333333453;0.9291666666666784;0.8455421934825007;0.22399020807833536;0.022031823745410038;0.019175846593227255;0.05344757241942064;0.1346389228886169;0.5467156262749898;0.820627802690583;0.007473841554559043;0.004484304932735426;0.01195814648729447;0.03288490284005979;0.12257100149476831;0.35192307692307684;0.011161406337198488;0.00726879059696876;0.019543670219213594;0.05285920230658338;0.20024748460510897
